pendidikan;kode_pendidikan
SDN I Kemaraya;Q97597236
SDN II Ayula Selatan;Q107739279
SMA Don Bosco Padang;Q19734560
SMA Dr Wahidin Sudirohusodo Medan;Q123451689
SMA Islam Al-Azhar 1 Jakarta;Q14933548
SMA KP 1 Ciparay;Q31781597
SMA Muhammadiyah 3 Jakarta;Q12702225
SMA Negeri 1 Abiansemal;Q64879856
SMA Negeri 1 Ambon;Q12510246
SMA Negeri 1 Ampek Angkek;Q12510248
SMA Negeri 1 Banda Aceh;Q19734587
SMA Negeri 1 Bandung;Q19734594
SMA Negeri 1 Batipuh;Q123387776
SMA Negeri 1 Brebes;Q12510274
SMA Negeri 1 Bukit;Q123387291
SMA Negeri 1 Bukittinggi;Q12510277
SMA Negeri 1 Ciamis;Q31787633
SMA Negeri 1 Cilacap;Q19734661
SMA Negeri 1 Denpasar;Q19734681
SMA Negeri 1 Garut;Q12510293
SMA Negeri 1 Jakarta;Q19745500
SMA Negeri 1 Jakenan;Q98768244
SMA Negeri 1 Kendari;Q12510315
SMA Negeri 1 Klaten;Q12510320
SMA Negeri 1 Kota Semarang;Q12510413
SMA Negeri 1 Kotamobagu;Q19734756
SMA Negeri 1 Kotapinang;Q123387671
SMA Negeri 1 Kuala Kapuas;Q19734760
SMA Negeri 1 Lamongan;Q12510329
SMA Negeri 1 Lirung;Q123389706
SMA Negeri 1 Magelang;Q12510337
SMA Negeri 1 Majene;Q19734784
SMA Negeri 1 Manado;Q19734802
SMA Negeri 1 Medan;Q12510348
SMA Negeri 1 Pacitan;Q12510364
SMA Negeri 1 Padang;Q12510366
SMA Negeri 1 Padang Panjang;Q12510368
SMA Negeri 1 Pariaman;Q12510382
SMA Negeri 1 Pekalongan;Q19748089
SMA Negeri 1 Pematang Siantar;Q19734881
SMA Negeri 1 Pontianak;Q19734891
SMA Negeri 1 Poso;Q19734894
SMA Negeri 1 Sijunjung;Q76402712
SMA Negeri 1 Solok;Q12510322
SMA Negeri 1 Sukatani;Q97598446
SMA Negeri 1 Sumedang;Q12510430
SMA Negeri 1 Surakarta;Q19752275
SMA Negeri 1 Temanggung;Q19748105
SMA Negeri 1 Wamena;Q12510454
SMA Negeri 1 Yogyakarta;Q17056026
SMA Negeri 11 Bandung;Q19735065
SMA Negeri 11 Jakarta;Q12510188
SMA Negeri 114 Jakarta;Q12510187
SMA Negeri 12 Bandung;Q19735082
SMA Negeri 12 Jakarta;Q19735092
SMA Negeri 13 Bandung;Q12510207
SMA Negeri 14 Jakarta;Q12510217
SMA Negeri 15 Kota Semarang;Q12510229
SMA Negeri 19 Bandung;Q12510242
SMA Negeri 2 Bogor;Q12510486
SMA Negeri 2 Bukittinggi;Q12510488
SMA Negeri 2 Cilacap;Q97598551
SMA Negeri 2 Kediri;Q12510497
SMA Negeri 2 Lumajang;Q12510508
SMA Negeri 2 Manado;Q19735173
SMA Negeri 2 Padang;Q12510519
SMA Negeri 2 Surabaya;Q19735187
SMA Negeri 2 Yogyakarta;Q12510547
SMA Negeri 24 Jakarta;Q19735191
SMA Negeri 28 Jakarta;Q28725217
SMA Negeri 29 Jakarta;Q12510476
SMA Negeri 3 Bandung;Q7391096
SMA Negeri 3 Denpasar;Q19735196
SMA Negeri 3 Jakarta;Q12510564
SMA Negeri 3 Kota Malang;Q12510569
SMA Negeri 3 Medan;Q12510572
SMA Negeri 3 Padang;Q12510575
SMA Negeri 3 Solok Selatan;Q75164773
SMA Negeri 3 Yogyakarta;Q19748156
SMA Negeri 30 Jakarta;Q31777795
SMA Negeri 34 Jakarta;Q19735212
SMA Negeri 36 Jakarta;Q12510549
SMA Negeri 37 Jakarta;Q31778738
SMA Negeri 39 Jakarta;Q12510550
SMA Negeri 4 Jakarta;Q17997518
SMA Negeri 4 Makassar;Q12510611
SMA Negeri 4 Surabaya;Q19752881
SMA Negeri 42 Jakarta;Q12510593
SMA Negeri 47 Jakarta;Q12510595
SMA Negeri 5 Bandung;Q5287796
SMA Negeri 5 Banjarmasin;Q12510627
SMA Negeri 5 Jakarta;Q17997530
SMA Negeri 5 Kota Jambi;Q12510632
SMA Negeri 5 Surabaya;Q12510646
SMA Negeri 5 Yogyakarta;Q19748166
SMA Negeri 50 Jakarta;Q17997383
SMA Negeri 6 Jakarta;Q12510656
SMA Negeri 6 Manado;Q19752279
SMA Negeri 6 Padang;Q12510660
SMA Negeri 6 Surakarta;Q19739360
SMA Negeri 6 Yogyakarta;Q12510668
SMA Negeri 66 Jakarta;Q12510648
SMA Negeri 68 Jakarta;Q7391097
SMA Negeri 7 Denpasar;Q12510680
SMA Negeri 7 Jakarta;Q12510681
SMA Negeri 7 Medan;Q12510684
SMA Negeri 7 Surakarta;Q12510693
SMA Negeri 70 Jakarta;Q12707341
SMA Negeri 8 Bandung;Q12510700
SMA Negeri 8 Jakarta;Q7391101
SMA Negeri 81 Jakarta;Q12510696
SMA Negeri 82 Jakarta;Q7391099
SMA Negeri 9 Jakarta;Q20448866
SMA Negeri 9 Surabaya;Q12510732
SMA Pangudi Luhur Jakarta;Q7391421
SMA Pangudi Luhur Van Lith;Q12510739
SMA Perintis Denpasar;Q100418860
SMA Pesantren Immim;Q123453757
SMA Setia Dharma;Q123454290
SMA Taman Siswa;Q64895246
SMA Taruna Nusantara;Q7686944
SMA Tunas Harapan;Q64575776
SMA Xaverius 1 Palembang;Q57947176
SMA YPK ASISI;Q98202744
SMA Yos Sudarso Cilacap;Q25457836
SMAN I Tanjung Karang;Q97572684
SMAN I Ujung Pandang;Q97572683
SMK Negeri 1 Muna;Q123394986
SMK Negeri 1 Pangkalpinang;Q123395804
SMK Negeri 2 Sawahlunto;Q31173835
SMK Negeri 2 Surakarta;Q19752277
SMK Negeri 3 Ambon;Q123395170
SMK Negeri 51 Jakarta;Q31778877
SMK Pertanian Pembangunan Negeri Bengkulu;Q123395567
SMK Walisongo Jakarta;Q31778737
SMP 17 Agustus;Q64872996
SMP Diponegoro Tanjung Bintang;Q64893423
SMP Frater Padang;Q109330029
SMP Islam Al Azhar I;Q125034004
SMP Kristen Kawangkoan;Q125050089
SMP Labschool Kebayoran;Q19739792
SMP Muhammadiyah 1 Surakarta;Q65212544
SMP Negeri 1 Abiansemal;Q64879864
SMP Negeri 1 Arjawinangun;Q65210693
SMP Negeri 1 Banda Aceh;Q12510986
SMP Negeri 1 Banjarmasin;Q19739811
SMP Negeri 1 Binjai;Q97572803
SMP Negeri 1 Blangkejeren;Q97577573
SMP Negeri 1 Bukittinggi;Q123774213
SMP Negeri 1 Ciamis;Q116289096
SMP Negeri 1 Cilacap;Q12511001
SMP Negeri 1 Gresik;Q12511012
SMP Negeri 1 Jakarta;Q16877900
SMP Negeri 1 Jember;Q12511013
SMP Negeri 1 Kawali;Q13200125
SMP Negeri 1 Kendari;Q12511017
SMP Negeri 1 Kota Bengkulu;Q123771375
SMP Negeri 1 Kotapinang;Q123772853
SMP Negeri 1 Labuhan Deli;Q123773288
SMP Negeri 1 Lamongan;Q12511024
SMP Negeri 1 Magelang;Q19748362
SMP Negeri 1 Manado;Q12511027
SMP Negeri 1 Medan;Q19739892
SMP Negeri 1 Pacet;Q123792449
SMP Negeri 1 Pacitan;Q12511035
SMP Negeri 1 Padang;Q19746602
SMP Negeri 1 Padang Panjang;Q121127078
SMP Negeri 1 Palembang;Q12511036
SMP Negeri 1 Payakumbuh;Q123773865
SMP Negeri 1 Sijunjung;Q117449250
SMP Negeri 1 Singaraja;Q64879314
SMP Negeri 1 Sitiung;Q123774044
SMP Negeri 1 Solok;Q122200459
SMP Negeri 1 Sungguminasa;Q25455566
SMP Negeri 1 Surabaya;Q12511053
SMP Negeri 1 Wonosobo;Q12511060
SMP Negeri 109 Jakarta;Q12510912
SMP Negeri 11 Jakarta;Q56392794
SMP Negeri 115 Jakarta;Q12510927
SMP Negeri 12 Jakarta;Q64575258
SMP Negeri 12 Medan;Q12510937
SMP Negeri 12 Semarang;Q19739973
SMP Negeri 12 Surabaya;Q25462661
SMP Negeri 13 Bandung;Q12510939
SMP Negeri 13 Padang;Q109062183
SMP Negeri 15 Surabaya;Q25462675
SMP Negeri 154 Jakarta;Q12510953
SMP Negeri 2 Bandung;Q19740064
SMP Negeri 2 Depok;Q12511105
SMP Negeri 2 Garut;Q12511106
SMP Negeri 2 Kapuas Kuala;Q97621591
SMP Negeri 2 Kendari;Q12511108
SMP Negeri 2 Manado;Q19740092
SMP Negeri 2 Mataram;Q12511113
SMP Negeri 2 Palangka Raya;Q12511116
SMP Negeri 2 Palu;Q19740102
SMP Negeri 2 Semarang;Q12511120
SMP Negeri 2 Sijunjung;Q123774014
SMP Negeri 2 Sungai Penuh;Q56391215
SMP Negeri 20 Jakarta;Q12708504
SMP Negeri 20 Pekanbaru;Q123770835
SMP Negeri 206 Jakarta;Q64575367
SMP Negeri 22 Jakarta;Q97577684
SMP Negeri 3 Ambon;Q106037215
SMP Negeri 3 Bandung;Q25466592
SMP Negeri 3 Bukittinggi;Q123774214
SMP Negeri 3 Jember;Q12511162
SMP Negeri 4 Bukittinggi;Q123774216
SMP Negeri 4 Jambi;Q112590962
SMP Negeri 4 Padang;Q109330048
SMP Negeri 41 Jakarta;Q12511174
SMP Negeri 5 Bandung;Q12511196
SMP Negeri 5 Bogor;Q19746637
SMP Negeri 5 Jakarta;Q12511198
SMP Negeri 5 Padang;Q123774084
SMP Negeri 6 Ambon;Q97210189
SMP Negeri 6 Bukittinggi;Q28725246
SMP Negeri 6 Gorontalo;Q65452073
SMP Negeri 6 Surakarta;Q12511211
SMP Negeri 7 Kota Bengkulu;Q123771366
SMP Negeri 73 Jakarta;Q64575277
SMP Negeri 76 Jakarta;Q64575370
SMP Negeri 8 Bandung;Q25467218
SMP Negeri 81 Jakarta;Q19746662
SMP Negeri 9 Palu;Q56399689
SMP Negeri Karubaga;Q98202768
SMP Pesantren Immim Makassar;Q125049703
SMP Sang Timur;Q97598785
SMP Taman Siswa Gedong Tataan;Q64895262
SMP Tunas Indonesia;Q125033030
SMP Yappenda;Q125034542
SMP Yos Sudarso Padang;Q77299396
SMPN 15 Bandung;Q62070209
STAI Pancawahana (STAIPANA) Bangil, Pasuruan;Q109913939
STAI Tafaqquhfiddin Dumai;Q109921919
STAIPI Bandung;Q97598324
STHM AHM-PTHM;Q97577635
STIE ABI Surabaya;Q97572685
STIE Bisnis Indonesia;Q97572626
STIE IBEK Pangkalpinang Bangka;Q109919364
STIE ISM;Q97577621
STIE Keuangan Perbankan dan Pembangunan Padang;Q19741350
STIE Pengembangan Bisnis Dan Manajemen;Q109919422
STIE dan STMIK Jayakarta;Q97570094
STIE-IPWI Jakarta;Q12511291
STISIP Tasikmalaya;Q109921869
STM IMMI;Q97577617
STOVIA;Q1934491
School Tot Opleiding van Indische Tandartsen;Q124313841
School of Oriental and African Studies;Q220144
Sekolah Bisnis Universitas Harvard;Q49126
Sekolah Inspektur Polisi Sumber Sarjana;Q28724699
Sekolah Menengah Atas BOPKRI 1 Yogyakarta;Q109432842
Sekolah Menengah Atas PGRI 2 Denpasar;Q108873634
Sekolah Menengah Orchid Park;Q7100286
Sekolah Pemerintahan John F. Kennedy;Q49127
Sekolah Pertambangan Colorado;Q1111367
Sekolah Regina Pacis;Q7308519
Sekolah Staf dan Komando Angkatan Darat;Q12513038
Sekolah Tinggi Akuntansi Negara;Q6026203
Sekolah Tinggi Bahasa Asing Malang;Q12511290
Sekolah Tinggi Filsafat Driyarkara Jakarta;Q12513061
Sekolah Tinggi Filsafat Katolik Ledalero;Q31129606
Sekolah Tinggi Hukum Indonesia Jakarta;Q109911978
Sekolah Tinggi Ilmu Administrasi Bengkulu;Q109913497
Sekolah Tinggi Ilmu Administrasi Bina Banua;Q12513063
Sekolah Tinggi Ilmu Administrasi Malang;Q104633597
Sekolah Tinggi Ilmu Administrasi Mandala Indonesia;Q19732714
Sekolah Tinggi Ilmu Ekonomi Ganesha;Q97577624
Sekolah Tinggi Ilmu Ekonomi KBP;Q109912135
Sekolah Tinggi Ilmu Ekonomi Malangkucecwara;Q12511297
Sekolah Tinggi Ilmu Ekonomi Mitra Indonesia;Q67180070
Sekolah Tinggi Ilmu Ekonomi Paripurna;Q25465766
Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa;Q97572828
Sekolah Tinggi Ilmu Ekonomi Solusi Bisnis Indonesia;Q67179864
Sekolah Tinggi Ilmu Ekonomi YKP;Q67179948
Sekolah Tinggi Ilmu Ekonomi Yayasan Keluarga Pahlawan Negara;Q12511308
Sekolah Tinggi Ilmu Hukum Manokwari;Q12513077
Sekolah Tinggi Ilmu Hukum Padang;Q97596283
Sekolah Tinggi Ilmu Hukum Sultan Adam;Q19752729
Sekolah Tinggi Ilmu Hukum Sumpah Pemuda;Q19747794
Sekolah Tinggi Ilmu Kepolisian;Q19752731
Sekolah Tinggi Ilmu Komunikasi Inter Studi;Q109912595
Sekolah Tinggi Ilmu Manajemen Indonesia Handayani;Q100418801
Sekolah Tinggi Ilmu Manajemen Yayasan Keluarga Pahlawan Negara;Q19752732
Sekolah Tinggi Ilmu Pelayaran Jakarta;Q19745903
Sekolah Tinggi Ilmu Teknik Trisula;Q109919700
Sekolah Tinggi Kesejahteraan Sosial;Q12513095
Sekolah Tinggi Manajemen Labora;Q109913064
Sekolah Tinggi Pariwisata Bandung;Q12513106
Sekolah Tinggi Perikanan;Q12513109
Sekolah Tinggi Pertanahan Nasional;Q19752735
Sekolah Tinggi Teknik Bandung;Q12513114
Sekolah Tinggi Teknik Surabaya;Q12513120
Sekolah Tinggi Teknologi Garut;Q97591568
Sekolah Tinggi Teknologi Tekstil;Q12513128
Sekolah Tinggi Teologi HKBP Pematangsiantar;Q12513134
Sekolah Tinggi Teologi Jakarta;Q6124490
Sekolah calon perwira Indonesia;Q19732654
Sekolah tinggi keguruan dan ilmu pendidikan;Q12513146
Seminari Pius XII;Q12513460
Sorbonne Universitas Paris;Q209842
Taman Siswa;Q2503208
Technische Hoogeschool te Bandoeng;Q31204378
Tokyo Institute of Technology;Q587326
Tweede Inlandsche School;Q12522857
UIN Alauddin Makassar;Q12522872
UIN Maulana Malik Ibrahim;Q14917501
UIN Sultan Syarif Kasim Riau;Q12522871
UIN Sulthan Thaha Saifuddin;Q31173528
United World College of South East Asia;Q1784861
Universitas 'Aisyiyah Yogyakarta;Q12513081
Universitas 17 Agustus 1945 Jakarta;Q12523282
Universitas 17 Agustus 1945 Samarinda;Q12523281
Universitas 17 Agustus 1945 Semarang;Q28954262
Universitas 17 Agustus 1945 Surabaya;Q12523284
Universitas 45 Mataram;Q17997528
Universitas Abulyatama;Q19744754
Universitas Achmad Yani;Q12523288
Universitas Ahmad Dahlan;Q13098260
Universitas Airlangga;Q1494353
Universitas Al Azhar Indonesia;Q12523290
Universitas Al Azhar Medan;Q12523291
Universitas Al Muslim;Q19744757
Universitas Al-Azhar;Q173959
Universitas Al-Ghifari;Q12523289
Universitas Alkhairaat;Q19744759
Universitas Amerika;Q168000
Universitas Amir Hamzah;Q30265568
Universitas Amsterdam;Q214341
Universitas Andalas;Q280361
Universitas Arizona;Q503419
Universitas Atma Jaya;Q20426266
Universitas Atma Jaya Yogyakarta;Q14457713
Universitas Auckland;Q492467
Universitas Azzahra;Q28950077
Universitas Baghdad;Q550376
Universitas Baiturrahmah;Q12523294
Universitas Bandar Lampung;Q12523297
Universitas Bandung Raya;Q12523299
Universitas Batanghari;Q12523301
Universitas Bebas Berlin;Q153006
Universitas Bengkulu;Q7481592
Universitas Bhayangkara;Q12523302
Universitas Bina Darma;Q12523305
Universitas Bina Nusantara;Q3267815
Universitas Birmingham;Q223429
Universitas Bojonegoro;Q12523306
Universitas Borobudur;Q12523307
Universitas Bosowa;Q12523285
Universitas Boston;Q49110
Universitas Brawijaya;Q1336952
Universitas Bung Hatta;Q19744761
Universitas Bung Karno;Q12523309
Universitas California, Berkeley;Q168756
Universitas Cambridge;Q35794
Universitas Cape Town;Q951305
Universitas Carleton;Q1041737
Universitas Cenderawasih;Q3130435
Universitas Chicago;Q131252
Universitas Colorado Boulder;Q736674
Universitas Columbia;Q49088
Universitas Cornell;Q49115
Universitas Curtin;Q1145497
Universitas Damaskus;Q1351317
Universitas Darma Agung;Q12523313
Universitas Darul 'Ulum;Q12523315
Universitas Darul Ulum Islamic Center;Q12523316
Universitas Deakin;Q1180978
Universitas Dipa Makassar;Q56400170
Universitas Diponegoro;Q4200627
Universitas Dr. Soetomo;Q12523318
Universitas Durham;Q458393
Universitas Dwijendra;Q12523319
Universitas Ekasakti;Q12523322
Universitas Erasmus Rotterdam;Q633529
Universitas Esa Unggul;Q12523323
Universitas Fajar;Q23807190
Universitas Filipina;Q746592
Universitas Flinders;Q15575
Universitas Flores;Q12523324
Universitas Gadjah Mada;Q1145992
Universitas Gajayana;Q19745825
Universitas Garut;Q12523326
Universitas George Washington;Q432637
Universitas Groningen;Q850730
Universitas Gunadarma;Q12523328
Universitas HKBP Nommensen;Q5629974
Universitas Haluoleo;Q5643706
Universitas Hang Tuah;Q12523330
Universitas Harvard;Q13371
Universitas Hasanuddin;Q478044
Universitas Hawaii;Q217439
Universitas Hindu Indonesia;Q28949971
Universitas Ibn Khaldun Bogor;Q19744776
Universitas Ibnu Chaldun;Q12523331
Universitas Ibnu Khaldun;Q12523329
Universitas Ibrani Yerusalem;Q174158
Universitas Illinois Urbana-Champaign;Q457281
Universitas Ilmu Terapan Den Haag;Q2693497
Universitas Indonesia;Q534515
Universitas Indonesia Timur;Q30265565
Universitas Iowa;Q182973
Universitas Islam Al-Azhar Mataram;Q12523335
Universitas Islam As-Syafiiyah;Q12523337
Universitas Islam Bandung;Q4854741
Universitas Islam Imam Muhammad bin Saud;Q3716653
Universitas Islam Indonesia;Q350752
Universitas Islam Jakarta;Q14933725
Universitas Islam KH. Ruhiat Cipasung;Q12486639
Universitas Islam Kalimantan Muhammad Arsyad Al-Banjary;Q12523340
Universitas Islam Madinah;Q1141959
Universitas Islam Makassar;Q12523343
Universitas Islam Malang;Q12523344
Universitas Islam Negeri Antasari;Q12486116
Universitas Islam Negeri Ar-Raniry;Q30632611
Universitas Islam Negeri Imam Bonjol;Q16182620
Universitas Islam Negeri Mataram;Q12486118
Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi;Q20426828
Universitas Islam Negeri Sumatera Utara;Q12486122
Universitas Islam Negeri Sunan Ampel Surabaya;Q52636873
Universitas Islam Negeri Sunan Gunung Djati Bandung;Q13098212
Universitas Islam Negeri Sunan Kalijaga Yogyakarta;Q12523348
Universitas Islam Negeri Syarif Hidayatullah Jakarta;Q12523349
Universitas Islam Negeri UIN Sunan Ampel Surabaya;Q12486124
Universitas Islam Negeri Walisongo;Q11223593
Universitas Islam Nusantara;Q12523345
Universitas Islam Omdurman;Q7089955
Universitas Islam Riau;Q12523347
Universitas Islam Sultan Agung;Q12523351
Universitas Islam Sumatera Utara;Q12523350
Universitas Islam Syekh Yusuf Tangerang;Q12523352
Universitas Jakarta;Q109913937
Universitas Jambi;Q6127803
Universitas Janabadra;Q12523354
